stock,Region1Name,Region2Name,Region3Name,Region4Name,pst_agg,juv_marine,juv_marine_updated
CHEHALIS_R,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
CHEHALIS_RIVER,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
CHEHALIS_RIVER_SUMMER,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
COOK CR      21.0429,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
ELWHA HATCHERY,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
ELWHA_F,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
ELWHA_FALL,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
ELWHA_R,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
FORKS CREEK HATCHERY,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
FORKS_CREEK_HATCHERY,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
FORKS_CR_H,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
HOH_R,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
HOH_RIVER,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
HOH_RIVER_SP_S,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
HOKO FALLS HATCHERY,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
HOKO_H_FA,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
HUMPTULIPS HATCHERY,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
HUMPTULIPS R 22.0004,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
HUMPTULIPS_H,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
KILCHIS_R,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
LONESOME CR HATCHERY,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
MAKAH NFH ON TSOO-YESS R,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
MAKAH_H,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
NASELLE HATCHERY,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
NASELLE R    24.0543,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
NEMAH HATCHERY,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
NEMAH R      24.0460,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
QUEETS,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
QUEETS R     21.0016,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
QUEETS_R,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
QUEETS_RIVER,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
QUILAYUTE_R,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
QUILLAYUTE,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
QUILLAYUTE R 20.0096,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
QUINAULT LK   (21),Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
QUINAULT LK HATCHERY,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
QUINAULT NFH -COOK C,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
QUINAULT R   21.0398,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
QUINAULT_F,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
QUINAULT_RIVER,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
R_CHEHALIS,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
S-CHEHALIS R,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
SATSOP R     22.0360,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
SHALE_H,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
SOL DUC R   20.0096,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
SOLDUC HATCHERY,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
SOLDUC_F,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
SOL_DUC_H,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
SOL_DUC_RIVER,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
TSOO-YESS R      20.0015,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
VAN WINKLE C 22.0240,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
WILLAPA R    24.0251,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
WILLAPA_CR,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
WILLAPA_R,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
WILLIPA_CREEK,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
YAQUINA_R,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
ABERNATHY CR 25.0297,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal,Col. Coastal
