stock,Region1Name,Region2Name,Region3Name,Region4Name,pst_agg,juv_marine
BING_CR_HATCHERY,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
BONNEVILLE HATCHERY,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
BONNEVILLE LADDER,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
BONNEVILLE POOL,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
BONNEVILLE_HATCHERY,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
COLUMBIA R TULES,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
COWEEMAN,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
COWEEMAN_R_FA,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
COWLITZ,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
COWLITZ R    26.0002,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
COWLITZ R -LOWER,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
COWLITZ R -UPPER,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
COWLITZ R @ MAYFIELD,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
COWLITZ SALMON HATCHERY,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
COWLITZ_H_FA,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
COWLITZ_R_HATCHERY,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
ELOCHOMAN R  25.0236,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
ELOCHOMAN_R_FA,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
FALLERT CR HATCHERY,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
KALAMA CR HATCHERY,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
KALAMA FALLS HATCHERY,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
KALAMA_H_SP,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
KLASKANINE HATCHERY,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
