"aggregate","management_unit","stock"
"CR-upper_sp","Snake_R_sp/su","JOHNSON_H"
"CR-upper_sp","Snake_R_sp/su","LOCHSA_R"
"CR-upper_sp","Snake_R_sp/su","LOLO_CR"
"CR-upper_sp","Snake_R_sp/su","LOOKINGGLASS CR"
"CR-upper_sp","Snake_R_sp/su","LOOKINGGLASS_H"
"CR-upper_sp","Snake_R_sp/su","LOSTINE R ENDEMIC"
"CR-upper_sp","Snake_R_sp/su","MINAM_CREEK"
"CR-upper_sp","Snake_R_sp/su","MINAM_R"
"CR-upper_sp","Snake_R_sp/su","NEWSOME_CR"
"CR-upper_sp","Snake_R_sp/su","OXBOW HATCHERY"
"CR-upper_sp","Snake_R_sp/su","PAH CH-2"
"CR-upper_sp","Snake_R_sp/su","PAHSIMEROI_R"
"CR-upper_sp","Snake_R_sp/su","RAPID_R_H"
"CR-upper_sp","Snake_R_sp/su","RAPID_RIVER"
"CR-upper_sp","Snake_R_sp/su","RED_R"
"CR-upper_sp","Snake_R_sp/su","S FK SALMON"
"CR-upper_sp","Snake_R_sp/su","SALMON R"
"CR-upper_sp","Snake_R_sp/su","SALMON R WILD"
"CR-upper_sp","Snake_R_sp/su","SAWTOOTH_H"
"CR-upper_sp","Snake_R_sp/su","SECECH"
"CR-upper_sp","Snake_R_sp/su","SECESH_R"
"CR-upper_sp","Snake_R_sp/su","SNAKE R"
"CR-upper_sp","Snake_R_sp/su","SNAKE R-LOWR 33.0002"
"CR-upper_sp","Snake_R_sp/su","SNAKE R. X"
"CR-upper_sp","Snake_R_sp/su","TUCANNON R   35.0009"
"CR-upper_sp","Snake_R_sp/su","TUCANNON R CAPTIVE"
"CR-upper_sp","Snake_R_sp/su","TUCANNON_H"
"CR-upper_sp","Snake_R_sp/su","TUCANNON_R"
"CR-upper_sp","Snake_R_sp/su","WALLOWA R"
"CR-upper_sp","Snake_R_sp/su","YAQUINA B SALMON RAN"
"CR-upper_sp","Willamette_R","BONNEVILLE LADDER"
"CR-upper_sp","Willamette_R","CLACKAMAS R EARLY"
"CR-upper_sp","Willamette_R","CLACKAMAS_N"
"CR-upper_sp","Willamette_R","CLACKAMAS_RIVER"
"CR-upper_sp","Willamette_R","MCKENZIE HATCHERY"
"CR-upper_sp","Willamette_R","MCKENZIE_H"
"CR-upper_sp","Willamette_R","MID WILLAMETTE R"
"CR-upper_sp","Willamette_R","N_SANTIAM_H"
"CR-upper_sp","Willamette_R","NORTH_SANTIAM"
"CR-upper_sp","Willamette_R","SANTIAM R N FK"
"CR-upper_sp","Willamette_R","SANTIAM R S FK"
"CR-upper_sp","Willamette_R","SANTIAM_RIVER_NORTH"
"CR-upper_sp","Willamette_R","WILLAMETTE HATCHERY"
"CR-upper_su/fa","Snake_R_fa","CLEARWATERRFA"
"CR-upper_su/fa","Snake_R_fa","IRRIGON HATCHERY"
"CR-upper_su/fa","Snake_R_fa","LYON'S_FERRY"
"CR-upper_su/fa","Snake_R_fa","LYON'S_FERRY_F"
"CR-upper_su/fa","Snake_R_fa","LYONS FERRY HATCHERY"
"CR-upper_su/fa","Snake_R_fa","LYONS_FERRY_H"
"CR-upper_su/fa","Snake_R_fa","NEZ_PERCET_H"
"CR-upper_su/fa","Snake_R_fa","S-SALMON R/JNST"
"CR-upper_su/fa","Snake_R_fa","SALMON_R_F"
"CR-upper_su/fa","Snake_R_fa","SNAKE R FALL"
"CR-upper_su/fa","Snake_R_fa","WENAHA_R"
"CR-upper_su/fa","Snake_R_fa","WENAHA_RIVER"
"CR-upper_su/fa","U_Columbia_R_fa","BONNEVILLE POOL"
"CR-upper_su/fa","U_Columbia_R_fa","DESCHUTES-F"
"CR-upper_su/fa","U_Columbia_R_fa","DESCHUTES R"
"CR-upper_su/fa","U_Columbia_R_fa","DESCHUTES_RIVER"
"CR-upper_su/fa","U_Columbia_R_fa","HANFORD REACH   (36)"
"CR-upper_su/fa","U_Columbia_R_fa","HANFORD REACH STOCK"
"CR-upper_su/fa","U_Columbia_R_fa","HANFORD_REACH"
"CR-upper_su/fa","U_Columbia_R_fa","HANFORD_REACH_"
"CR-upper_su/fa","U_Columbia_R_fa","HOOD R"
"CR-upper_su/fa","U_Columbia_R_fa","KLICKITAT HATCHERY (YKFP)"
"CR-upper_su/fa","U_Columbia_R_fa","KLICKITAT R  30.0002"
"CR-upper_su/fa","U_Columbia_R_fa","KLICKITAT_H"
"CR-upper_su/fa","U_Columbia_R_fa","KLICKITAT_R_SP"
"CR-upper_su/fa","U_Columbia_R_fa","L_DESCHUTES_R"
"CR-upper_su/fa","U_Columbia_R_fa","L_WH_SAL_H_SF"
"CR-upper_su/fa","U_Columbia_R_fa","MARION YAKAMA TRIB HAT"
"CR-upper_su/fa","U_Columbia_R_fa","MARION_DRAIN_FA"
"CR-upper_su/fa","U_Columbia_R_fa","NPT HATCHERY"
"CR-upper_su/fa","U_Columbia_R_fa","PRIEST RAPIDS   (36)"
"CR-upper_su/fa","U_Columbia_R_fa","PRIEST RAPIDS HATCHERY"
"CR-upper_su/fa","U_Columbia_R_fa","PRIEST_RAPID_H"
"CR-upper_su/fa","U_Columbia_R_fa","PRIEST_RAPIDS_H"
"CR-upper_su/fa","U_Columbia_R_fa","RINGOLD SPRINGS HATCHERY"
"CR-upper_su/fa","U_Columbia_R_fa","U_DESCHUTES_R"
"CR-upper_su/fa","U_Columbia_R_fa","UMATILLA HATCHERY"
"CR-upper_su/fa","U_Columbia_R_fa","UMATILLA R"
"CR-upper_su/fa","U_Columbia_R_fa","UMATILLA_H"
"CR-upper_su/fa","U_Columbia_R_fa","UMATILLA_H_FA"
"CR-upper_su/fa","U_Columbia_R_fa","WARM SPRINGS R"
"CR-upper_su/fa","U_Columbia_R_fa","WASHINGTON BRIGHTS"
"CR-upper_su/fa","U_Columbia_R_fa","YAKIMA R-LOW 37.0002"
"CR-upper_su/fa","U_Columbia_R_fa","YAKIMA R-UPR 39.0002"
"CR-upper_su/fa","U_Columbia_R_su","CARLTON ACCLIMATION POND"
"CR-upper_su/fa","U_Columbia_R_su","CHELAN FALLS EASTBANK OF"
"CR-upper_su/fa","U_Columbia_R_su","CHELAN FALLS HATCHERY"
"CR-upper_su/fa","U_Columbia_R_su","CHIEF JOSEPH HATCHERY"
"CR-upper_su/fa","U_Columbia_R_su","DRYDEN POND"
"CR-upper_su/fa","U_Columbia_R_su","LEAVENWORTH HATCHERY"
"CR-upper_su/fa","U_Columbia_R_su","METHOW & OKANOGAN"
"CR-upper_su/fa","U_Columbia_R_su","METHOW R     48.0002"
"CR-upper_su/fa","U_Columbia_R_su","METHOW_R"
"CR-upper_su/fa","U_Columbia_R_su","OKANAGAN"
"CR-upper_su/fa","U_Columbia_R_su","OKANAGAN_RIVER"
"CR-upper_su/fa","U_Columbia_R_su","OKANOGAN R   49.0019"
"CR-upper_su/fa","U_Columbia_R_su","OSOYOOS_LAKE"
"CR-upper_su/fa","U_Columbia_R_su","SILMILKAMEEN_S"
"CR-upper_su/fa","U_Columbia_R_su","SIMILKAMEEN"
"CR-upper_su/fa","U_Columbia_R_su","SIMILKAMEEN HATCHERY"
"CR-upper_su/fa","U_Columbia_R_su","SIMILKAMEEN R 490325"
"CR-upper_su/fa","U_Columbia_R_su","WELLS DAM       (47)"
"CR-upper_su/fa","U_Columbia_R_su","WELLS HATCHERY"
"CR-upper_su/fa","U_Columbia_R_su","WELLS_H"
"CR-upper_su/fa","U_Columbia_R_su","WENATCHEE R  45.0030"
"CR-upper_su/fa","U_Columbia_R_su","WENATCHEE_H_SP"
"CR-upper_su/fa","U_Columbia_R_su","WENATCHEE_R_SF"
"CR-upper_su/fa","U_Columbia_R_su","WENATCHEE_R_SP"
"CR-upper_su/fa","U_Columbia_R_su","WENATCHEE_RIVER"
"CR-upper_su/fa","U_Columbia_R_su","WENATCHEE_SU"
"Fraser_Fall","Fraser_Fall","CHILLIWAC@STAV"
"Fraser_Fall","Fraser_Fall","CHILLIWACK RIVER H"
"Fraser_Fall","Fraser_Fall","CHILLIWACK_F"
"Fraser_Fall","Fraser_Fall","CHILLIWACK_RIVER_FALL"
"Fraser_Fall","Fraser_Fall","CHILLIWACK_RIVER_SUMMER"
"Fraser_Fall","Fraser_Fall","CHILLIWACK_VEDDER_RIVER"
"Fraser_Fall","Fraser_Fall","FINCH CR     16.0222"
"Fraser_Fall","Fraser_Fall","H-CHILLIWACK RIVER H"
"Fraser_Fall","Fraser_Fall","HARRISON"
"Fraser_Fall","Fraser_Fall","HARRISON_RIVER"
"Fraser_Fall","Fraser_Fall","INCH CREEK H"
"Fraser_Fall","Fraser_Fall","NAHATLATCH_RIVER"
"Fraser_Fall","Fraser_Fall","NICOMEKL_RIVER"
"Fraser_Fall","Fraser_Fall","PORTAGE_C"
"Fraser_Fall","Fraser_Fall","PORTAGE_CREEK"
"Fraser_Fall","Fraser_Fall","S-CHILLIWACK R"
"Fraser_Fall","Fraser_Fall","S-HARRISON R"
"Fraser_Fall","Fraser_Fall","S-INCH CR"
"Fraser_Fall","Fraser_Fall","STAVE_RIVER"
"Fraser_Summer_4.1","Fraser_Summer_4.1","ADAMS_RIVER"
"Fraser_Summer_4.1","Fraser_Summer_4.1","BESSETTE"
"Fraser_Summer_4.1","Fraser_Summer_4.1","BESSETTE_CREEK"
"Fraser_Summer_4.1","Fraser_Summer_4.1","GEORGE ADAMS HATCHERY"
"Fraser_Summer_4.1","Fraser_Summer_4.1","GEORGE_ADAMS_H"
"Fraser_Summer_4.1","Fraser_Summer_4.1","L_ADAMS"
"Fraser_Summer_4.1","Fraser_Summer_4.1","L_SHUS@U_ADAMS"
"Fraser_Summer_4.1","Fraser_Summer_4.1","L_SHUSWAP"
"Fraser_Summer_4.1","Fraser_Summer_4.1","L_THOMPSON"
"Fraser_Summer_4.1","Fraser_Summer_4.1","LITTLE"
"Fraser_Summer_4.1","Fraser_Summer_4.1","LITTLE_R"
"Fraser_Summer_4.1","Fraser_Summer_4.1","LITTLE_RIVER"
"Fraser_Summer_4.1","Fraser_Summer_4.1","M_SHUSWAP"
"Fraser_Summer_4.1","Fraser_Summer_4.1","MARIA_SLOUGH"
"Fraser_Summer_4.1","Fraser_Summer_4.1","NORTH_THOMPSON_RIVER"
"Fraser_Summer_4.1","Fraser_Summer_4.1","S-SALMON R/TOMF"
"Fraser_Summer_4.1","Fraser_Summer_4.1","S-SHUSWAP R LOW"
"Fraser_Summer_4.1","Fraser_Summer_4.1","S-SHUSWAP R MIDDLE"
"Fraser_Summer_4.1","Fraser_Summer_4.1","SALMON@SA"
"Fraser_Summer_4.1","Fraser_Summer_4.1","SHUSWAP RIVER, MIDDLE, H"
"Fraser_Summer_4.1","Fraser_Summer_4.1","SHUSWAP_RIVER-LOWER"
"Fraser_Summer_4.1","Fraser_Summer_4.1","SHUSWAP_RIVER-MIDDLE"
"Fraser_Summer_4.1","Fraser_Summer_4.1","SOUTH_THOM"
"Fraser_Summer_4.1","Fraser_Summer_4.1","SOUTH_THOMPSON_RIVER"
"Fraser_Summer_4.1","Fraser_Summer_4.1","THOMPSON_RIVER_BELOW_KAMLOOPS_LAKE"
"Fraser_Yearling","Fraser_Spring_4.2","BONAPARTE"
"Fraser_Yearling","Fraser_Spring_4.2","BONAPARTE_RIVER"
"Fraser_Yearling","Fraser_Spring_4.2","COLDWATER"
"Fraser_Yearling","Fraser_Spring_4.2","COLDWATER_RIVER"
"Fraser_Yearling","Fraser_Spring_4.2","COLDWATER_RIVER-UPPER"
"Fraser_Yearling","Fraser_Spring_4.2","DEADMAN"
"Fraser_Yearling","Fraser_Spring_4.2","DEADMAN_RIVER"
"Fraser_Yearling","Fraser_Spring_4.2","DUTEAU_CR"
"Fraser_Yearling","Fraser_Spring_4.2","DUTEAU_CREEK"
