"stock","Region1Name","Region2Name","Region3Name","Region4Name","pst_agg"
"SMITH_RIVER__UMPQUA","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"S_COOS_R","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"S_UMPQUA_H","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"TAHKENITCH_L","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"TAHKENITCH_LAKE","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"UMPQUA R (ROCK CR HT)","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"UMPQUA_H","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"UMPQUA_R","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"UMPQUA_SMITH","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"UMPQUA_SP","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"UMPQUA_SPRING","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"APPLEGATE_CR","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"CHETCO R","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"CHETCO_R","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"COLE","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"COLE RIVER","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"COLEEN_RIVER","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"COLE_RIVER","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"COLE_RIVERS_H","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"COQUILLE R","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"COQUILLE_R","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"ELK R (ELK R HT)","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"HUNTER_CR","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"HUNTER_CREEK","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"LOBSTER_CR","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"LOBSTER_CREEK","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"PISTOL","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"PISTOL_RIVER","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
