"stock","Region1Name","Region2Name","Region3Name","Region4Name","id_type","pst_agg"
"FORKS_CR_H","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","gsi","WACST"
"HOH_R","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","gsi","WACST"
"HOH_RIVER_SP_S","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","gsi","WACST"
"HOKO_H_FA","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","gsi","WACST"
"HUMPTULIPS_H","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","gsi","WACST"
"MAKAH_H","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","gsi","WACST"
"QUEETS","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","gsi","WACST"
"QUEETS_R","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","gsi","WACST"
"QUILAYUTE_R","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","gsi","WACST"
"QUINAULT_F","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","gsi","WACST"
"R_CHEHALIS","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","gsi","WACST"
"SOL_DUC_H","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","gsi","WACST"
"SOLDUC_F","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","gsi","WACST"
"WILLAPA_CR","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","gsi","WACST"
"YAQUINA_R","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","gsi","WACST"
"ABERNATHY F","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","gsi","CR-tule"
"ABERNATHY_CR_FA","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","gsi","CR-tule"
"ABERNATHY_F","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","gsi","CR-tule"
"ABERNATHY_NFH_F","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","gsi","CR-tule"
"COWEEMAN","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","gsi","CR-tule"
"COWEEMAN_R_FA","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","gsi","CR-tule"
"COWLITZ_H_FA","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","gsi","CR-tule"
"ELOCHOMAN_R_FA","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","gsi","CR-tule"
"LEWIS_R_F","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","gsi","CR-tule"
"LEWIS_R_LSU","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","gsi","CR-tule"
"LEWIS_R_SU","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","gsi","CR-tule"
"MACKENZIE","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","gsi","CR-tule"
"NORTH SANTIAM","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","gsi","CR-tule"
"NORTH_SANTIAM","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","gsi","CR-tule"
"SANDY","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","gsi","CR-tule"
"SANDY_R","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","gsi","CR-tule"
"WASHOUGAL_R_FA","L_Columbia_R_fa","Fall Cowlitz/Willamette","Columbia","ColR","gsi","CR-tule"
"BIG_CR","Willamette_R","Fall Cowlitz/Willamette","Columbia","ColR","gsi","CR-sp&su"
"BIG_CR_H_COL","Willamette_R","Fall Cowlitz/Willamette","Columbia","ColR","gsi","CR-sp&su"
"CLACKAMAS_N","Willamette_R","Fall Cowlitz/Willamette","Columbia","ColR","gsi","CR-sp&su"
"CLACKAMAS_NO","Willamette_R","Fall Cowlitz/Willamette","Columbia","ColR","gsi","CR-sp&su"
"MCKENZIE_H","Willamette_R","Fall Cowlitz/Willamette","Columbia","ColR","gsi","CR-sp&su"
